id,benchmark,function,passes,wcet
76,durbin/durbin,init_array,"pgo-memop-opt - sroa - mem2reg,loop-unroll<O3> - loop-simplify - loop(loop-idiom) - loop-mssa(licm) - instcombine",3237543
77,durbin/durbin,init_array,"speculative-execution - memcpyopt - loop-mssa(licm) - loop-mssa(licm)",3237543
78,durbin/durbin,init_array,"loop-mssa(licm) - pgo-memop-opt - loop-mssa(licm) - loop-simplify - loop-mssa(licm)",3237543
79,durbin/durbin,init_array,"callsite-splitting - slp-vectorizer - callsite-splitting - loop-mssa(licm) - loop-sink - loop-mssa(licm) - loop-simplify - instsimplify - dse",3237543
80,durbin/durbin,init_array,"loop-sink - loop-mssa(licm)",3237543
81,durbin/durbin,init_array,"loop-mssa(licm) - jump-threading - loop-vectorize - div-rem-pairs - loop-mssa(licm) - loop-simplify - mem2reg - mem2reg - loop-distribute - aggressive-instcombine",3237543
82,durbin/durbin,init_array,"slp-vectorizer - instsimplify - loop(loop-idiom) - loop-mssa(licm) - mem2reg - loop-mssa(licm) - loop-mssa(licm) - slp-vectorizer - loop-vectorize - jump-threading",3237543
83,durbin/durbin,init_array,"lower-constant-intrinsics - dse - lower-constant-intrinsics - mem2reg,loop-unroll<O3> - libcalls-shrinkwrap - sccp - correlated-propagation - loop(loop-deletion) - lower-constant-intrinsics",3237943
84,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - adce - pgo-memop-opt - pgo-memop-opt",3237543
85,durbin/durbin,init_array,"dse - loop-mssa(licm) - loop-mssa(licm) - mldst-motion - loop-mssa(licm) - sccp - jump-threading - loop-mssa(licm)",3237543
86,durbin/durbin,init_array,"speculative-execution - loop-mssa(licm) - bdce - reassociate - loop-mssa(licm)",3237543
87,durbin/durbin,init_array,"loop-simplify - loop-mssa(licm) - aggressive-instcombine - correlated-propagation - loop-mssa(licm)",3237543
88,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - div-rem-pairs - loop-simplify - memcpyopt - lcssa - loop-mssa(licm) - sroa - loop-mssa(licm)",3237543
89,durbin/durbin,init_array,"adce - loop-mssa(licm) - loop-mssa(licm)",3237543
90,durbin/durbin,init_array,"loop(loop-idiom) - slp-vectorizer - loop-mssa(licm) - loop-mssa(licm) - libcalls-shrinkwrap - loop-mssa(licm) - mem2reg,loop-unroll<O3> - dse - loop-vectorize - loop(loop-idiom)",3229772
91,durbin/durbin,init_array,"sroa - loop-mssa(licm) - loop-mssa(licm) - instsimplify - bdce - gvn - dse - loop-mssa(licm) - reassociate",3237543
92,durbin/durbin,init_array,"loop(loop-idiom) - loop-mssa(licm) - loop-mssa(licm) - mldst-motion - loop-load-elim - instcombine - loop-mssa(licm)",3237543
93,durbin/durbin,init_array,"correlated-propagation - bdce - slp-vectorizer - gvn - mem2reg",3237943
94,durbin/durbin,init_array,"loop-mssa(licm) - lower-constant-intrinsics - loop-sink - mem2reg",3237543
95,durbin/durbin,init_array,"instcombine - loop-mssa(licm) - loop-mssa(licm) - loop-distribute - loop-mssa(licm)",3237543
96,durbin/durbin,init_array,"libcalls-shrinkwrap - sccp - loop(indvars) - loop-mssa(licm) - mem2reg,loop-unroll<O3> - loop-mssa(licm) - mem2reg - speculative-execution - lower-expect",3229772
97,durbin/durbin,init_array,"loop(loop-deletion) - instcombine",3237943
98,durbin/durbin,init_array,"callsite-splitting - loop(loop-idiom) - gvn - loop-mssa(licm) - loop(loop-deletion)",3237543
99,durbin/durbin,init_array,"instsimplify - instcombine - instcombine - loop(loop-deletion) - loop-mssa(licm) - mem2reg,loop-unroll<O3> - alignment-from-assumptions - loop-mssa(licm) - dse",3229772
100,durbin/durbin,init_array,"sccp - loop(indvars)",3237943
101,durbin/durbin,init_array,"gvn - loop-mssa(licm) - mem2reg,loop-unroll<O3> - bdce - loop-mssa(licm)",3229772
102,durbin/durbin,init_array,"lower-expect - gvn",3237943
103,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - lower-constant-intrinsics - loop-mssa(licm) - loop-mssa(licm) - float2int",3237543
104,durbin/durbin,init_array,"mem2reg - callsite-splitting - sccp - loop-simplify",3237943
105,durbin/durbin,init_array,"speculative-execution - libcalls-shrinkwrap - div-rem-pairs - loop-mssa(licm) - loop-mssa(licm)",3237543
106,durbin/durbin,init_array,"loop-load-elim - sroa",3237943
107,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - loop-simplify",3237543
108,durbin/durbin,init_array,"loop-mssa(licm) - slp-vectorizer - loop-mssa(licm) - loop-mssa(licm) - reassociate - loop-mssa(licm) - loop-distribute - libcalls-shrinkwrap",3237543
109,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - aggressive-instcombine",3237543
110,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm)",3237543
111,durbin/durbin,init_array,"loop-mssa(licm) - correlated-propagation - loop-mssa(licm) - loop-simplify - loop(loop-idiom) - loop-mssa(licm) - instsimplify - loop-mssa(licm) - loop-vectorize - loop-distribute",3237543
112,durbin/durbin,init_array,"instsimplify - lower-constant-intrinsics - loop-mssa(licm) - aggressive-instcombine - speculative-execution",3237543
113,durbin/durbin,init_array,"memcpyopt - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - mem2reg,loop-unroll<O3>",3229772
114,durbin/durbin,init_array,"correlated-propagation - loop-mssa(licm) - adce - sroa - loop-mssa(licm) - loop-mssa(licm) - correlated-propagation",3237543
115,durbin/durbin,init_array,"loop-mssa(licm) - loop(loop-idiom) - aggressive-instcombine - instsimplify",3237543
116,durbin/durbin,init_array,"mem2reg,loop-unroll<O3> - reassociate - dse - loop-distribute - aggressive-instcombine - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm)",3237543
117,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - mem2reg - loop-mssa(licm) - instcombine",3237543
118,durbin/durbin,init_array,"speculative-execution - loop-mssa(licm) - loop-sink - sccp - loop-mssa(licm)",3237543
119,durbin/durbin,init_array,"loop-simplify - loop-mssa(licm) - loop-mssa(licm) - pgo-memop-opt - loop-mssa(licm) - loop(loop-idiom)",3237543
120,durbin/durbin,init_array,"correlated-propagation - loop-mssa(licm) - loop(indvars) - instcombine - loop-mssa(licm) - lower-expect - adce",3237543
121,durbin/durbin,init_array,"loop-mssa(licm) - instsimplify - alignment-from-assumptions - loop-vectorize - loop(loop-deletion)",3237543
122,durbin/durbin,init_array,"loop-mssa(licm) - correlated-propagation - instcombine - callsite-splitting - loop-mssa(licm) - loop(indvars) - loop-mssa(licm) - loop-mssa(licm) - loop-load-elim - bdce",3237543
123,durbin/durbin,init_array,"sroa - div-rem-pairs - jump-threading - loop(loop-idiom) - loop(loop-idiom)",3237943
124,durbin/durbin,init_array,"correlated-propagation - loop-distribute - loop-mssa(licm) - loop-mssa(licm) - reassociate",3237543
125,durbin/durbin,init_array,"loop-distribute - correlated-propagation - loop(loop-deletion) - alignment-from-assumptions - loop-mssa(licm)",3237543
126,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - aggressive-instcombine - alignment-from-assumptions - sccp - loop(loop-idiom) - alignment-from-assumptions",3237543
127,durbin/durbin,init_array,"bdce - loop-mssa(licm) - loop-simplify - div-rem-pairs - loop-simplify - mem2reg,loop-unroll<O3> - loop-mssa(licm) - loop-mssa(licm)",3229772
128,durbin/durbin,init_array,"lcssa - loop-mssa(licm) - adce - loop-mssa(licm) - loop-mssa(licm) - adce - loop-mssa(licm) - loop-mssa(licm) - loop(loop-idiom)",3237543
129,durbin/durbin,init_array,"loop-simplify - loop-mssa(licm) - loop-mssa(licm) - loop(loop-idiom) - bdce - loop-mssa(licm) - lower-constant-intrinsics - loop-mssa(licm) - loop-sink",3237543
130,durbin/durbin,init_array,"loop-mssa(licm) - reassociate - callsite-splitting - pgo-memop-opt - loop-mssa(licm) - loop-vectorize - lower-constant-intrinsics",3237543
131,durbin/durbin,init_array,"reassociate - loop-distribute - adce - loop-mssa(licm) - loop-simplify - reassociate - loop-simplify - float2int",3237543
132,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - loop(indvars) - loop(loop-idiom) - loop-mssa(licm) - loop(loop-deletion) - sroa - bdce",3237543
133,durbin/durbin,init_array,"loop-mssa(licm) - jump-threading - lower-constant-intrinsics - div-rem-pairs",3237543
134,durbin/durbin,init_array,"reassociate - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - loop-sink",3237543
135,durbin/durbin,init_array,"bdce - pgo-memop-opt - mem2reg,loop-unroll<O3>",3237943
136,durbin/durbin,init_array,"loop(loop-deletion) - mem2reg - callsite-splitting - mem2reg - loop-simplify - loop-mssa(licm) - instsimplify",3237543
137,durbin/durbin,init_array,"jump-threading - loop-distribute - sroa - loop-mssa(licm)",3237543
138,durbin/durbin,init_array,"mem2reg - pgo-memop-opt - div-rem-pairs - loop(indvars) - jump-threading - speculative-execution - bdce - loop-mssa(licm) - loop-mssa(licm) - jump-threading",3237543
139,durbin/durbin,init_array,"instcombine - instcombine - loop(loop-idiom) - mem2reg - loop-mssa(licm) - memcpyopt",3237543
140,durbin/durbin,init_array,"loop-sink - bdce - loop-mssa(licm) - loop-mssa(licm) - reassociate",3237543
141,durbin/durbin,init_array,"float2int - lower-expect - loop(indvars) - loop-mssa(licm) - adce",3237543
142,durbin/durbin,init_array,"jump-threading - loop-simplify - loop-mssa(licm) - alignment-from-assumptions - reassociate - loop-sink - loop-mssa(licm)",3237543
143,durbin/durbin,init_array,"memcpyopt - jump-threading - pgo-memop-opt",3237943
144,durbin/durbin,init_array,"loop-mssa(licm) - callsite-splitting - loop-mssa(licm) - loop-sink - correlated-propagation - loop(indvars) - sccp - pgo-memop-opt - correlated-propagation",3237543
145,durbin/durbin,init_array,"loop-mssa(licm) - instsimplify",3237543
146,durbin/durbin,init_array,"correlated-propagation - mem2reg - loop-mssa(licm) - correlated-propagation - gvn - loop-mssa(licm)",3237543
147,durbin/durbin,init_array,"mem2reg - lower-expect - loop-mssa(licm) - sroa - jump-threading - dse - libcalls-shrinkwrap - dse",3237543
148,durbin/durbin,init_array,"loop(indvars) - loop-mssa(licm)",3237543
149,durbin/durbin,init_array,"loop-mssa(licm) - instsimplify - loop-simplify - alignment-from-assumptions - lower-constant-intrinsics - speculative-execution",3237543
150,durbin/durbin,init_array,"loop-mssa(licm) - bdce - libcalls-shrinkwrap",3237543
151,durbin/durbin,init_array,"loop-mssa(licm) - speculative-execution - dse - loop-mssa(licm) - float2int - slp-vectorizer - float2int",3237543
152,durbin/durbin,init_array,"mem2reg,loop-unroll<O3> - loop-mssa(licm)",3237543
153,durbin/durbin,init_array,"slp-vectorizer - aggressive-instcombine - loop-mssa(licm) - loop-distribute - slp-vectorizer - sccp - pgo-memop-opt",3237543
154,durbin/durbin,init_array,"lower-expect - mldst-motion - loop-mssa(licm) - loop(loop-deletion) - aggressive-instcombine",3237543
155,durbin/durbin,init_array,"loop-mssa(licm) - sroa - loop-mssa(licm) - aggressive-instcombine - loop-vectorize - loop-mssa(licm) - loop-mssa(licm) - callsite-splitting",3237543
156,durbin/durbin,init_array,"loop(indvars) - float2int - loop-sink",3237943
157,durbin/durbin,init_array,"mem2reg,loop-unroll<O3> - mldst-motion - instcombine - aggressive-instcombine",3237943
158,durbin/durbin,init_array,"loop(loop-idiom) - loop-mssa(licm)",3237543
159,durbin/durbin,init_array,"instsimplify - loop-distribute - loop-sink - loop(indvars) - loop-mssa(licm) - bdce - loop-simplify - correlated-propagation - div-rem-pairs",3237543
160,durbin/durbin,init_array,"loop-mssa(licm) - loop(loop-deletion)",3237543
161,durbin/durbin,init_array,"libcalls-shrinkwrap - sccp - loop-simplify - loop-mssa(licm) - loop-mssa(licm) - loop-distribute - float2int - speculative-execution - instsimplify - aggressive-instcombine",3237543
162,durbin/durbin,init_array,"loop-vectorize - mem2reg - mem2reg,loop-unroll<O3> - loop-mssa(licm) - div-rem-pairs - mem2reg,loop-unroll<O3> - instcombine",3229772
163,durbin/durbin,init_array,"mldst-motion - loop-mssa(licm)",3237543
164,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - gvn",3237543
165,durbin/durbin,init_array,"float2int - loop-mssa(licm) - loop(indvars) - div-rem-pairs - loop-vectorize - loop-simplify - sccp - loop(loop-idiom)",3237543
166,durbin/durbin,init_array,"mldst-motion - loop(loop-deletion) - callsite-splitting - loop-mssa(licm) - loop-load-elim - mem2reg,loop-unroll<O3> - gvn - bdce - libcalls-shrinkwrap - loop-mssa(licm)",3229772
167,durbin/durbin,init_array,"sccp - mem2reg,loop-unroll<O3> - loop-mssa(licm) - lcssa - loop-load-elim - loop(loop-idiom) - loop-load-elim - reassociate - instcombine",3237543
168,durbin/durbin,init_array,"loop-sink - loop-mssa(licm) - correlated-propagation - mem2reg,loop-unroll<O3> - loop-mssa(licm)",3229772
169,durbin/durbin,init_array,"instcombine - alignment-from-assumptions - sroa - alignment-from-assumptions - loop-mssa(licm) - loop-mssa(licm)",3237543
170,durbin/durbin,init_array,"aggressive-instcombine - loop-mssa(licm) - lower-constant-intrinsics - mldst-motion - loop-mssa(licm)",3237543
171,durbin/durbin,init_array,"div-rem-pairs",3237943
172,durbin/durbin,init_array,"mem2reg - bdce",3237943
173,durbin/durbin,init_array,"lower-expect - loop-mssa(licm)",3237543
174,durbin/durbin,init_array,"gvn - lcssa - gvn - loop(loop-idiom) - gvn - aggressive-instcombine",3237943
175,durbin/durbin,init_array,"adce - loop-mssa(licm) - callsite-splitting - loop-sink - loop(loop-idiom) - loop-mssa(licm) - correlated-propagation - loop-mssa(licm)",3237543
176,durbin/durbin,init_array,"loop(loop-idiom) - libcalls-shrinkwrap - loop-mssa(licm) - dse",3237543
177,durbin/durbin,init_array,"correlated-propagation - adce - loop-mssa(licm) - memcpyopt - bdce",3237543
178,durbin/durbin,init_array,"loop(loop-idiom) - float2int - mem2reg,loop-unroll<O3> - speculative-execution - bdce - sroa - jump-threading - aggressive-instcombine - gvn - loop(indvars)",3237943
179,durbin/durbin,init_array,"slp-vectorizer - mldst-motion - loop(loop-deletion) - speculative-execution - mldst-motion - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - instsimplify - adce",3237543
180,durbin/durbin,init_array,"sroa - loop-mssa(licm) - loop-mssa(licm) - lower-constant-intrinsics - mem2reg - mem2reg - loop-vectorize",3237543
181,durbin/durbin,init_array,"speculative-execution - loop-mssa(licm) - mem2reg,loop-unroll<O3> - callsite-splitting - loop-mssa(licm) - instsimplify - mem2reg - loop-mssa(licm) - bdce",3229772
182,durbin/durbin,init_array,"loop-load-elim - libcalls-shrinkwrap - instsimplify - correlated-propagation - libcalls-shrinkwrap - lower-constant-intrinsics - slp-vectorizer - bdce - loop-mssa(licm)",3237543
183,durbin/durbin,init_array,"loop-mssa(licm) - lower-constant-intrinsics - loop(indvars) - pgo-memop-opt - bdce - loop-mssa(licm) - loop(loop-deletion) - loop-simplify - adce - pgo-memop-opt",3237543
184,durbin/durbin,init_array,"div-rem-pairs - loop-sink - loop-simplify - loop-distribute - aggressive-instcombine",3237943
185,durbin/durbin,init_array,"speculative-execution - loop-mssa(licm)",3237543
186,durbin/durbin,init_array,"slp-vectorizer - loop-distribute",3237943
187,durbin/durbin,init_array,"loop-mssa(licm) - bdce",3237543
188,durbin/durbin,init_array,"bdce - loop-mssa(licm) - loop-mssa(licm) - loop-simplify - alignment-from-assumptions - loop(loop-deletion)",3237543
