id,benchmark,function,passes,wcet
82,ns/ns,foo,"jump-threading - gvn - loop-mssa(licm) - loop-mssa(licm) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3>",190236
83,ns/ns,foo,"gvn - jump-threading - gvn - loop-mssa(licm) - loop-mssa(licm) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3>",190236
84,ns/ns,foo,"slp-vectorizer - gvn - gvn",367636
85,ns/ns,foo,"div-rem-pairs - slp-vectorizer - gvn - gvn",367636
86,ns/ns,foo,"loop-mssa(licm) - slp-vectorizer - div-rem-pairs - gvn - gvn",269086
87,ns/ns,foo,"loop-mssa(licm) - jump-threading - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - tailcallelim - mem2reg,loop-unroll<O3> - alignment-from-assumptions - gvn - dse",128856
88,ns/ns,foo,"gvn - no-op-function",367636
89,ns/ns,foo,"gvn - gvn - no-op-function",367636
90,ns/ns,foo,"gvn - gvn - gvn - no-op-function",367636
91,ns/ns,foo,"loop-sink - reassociate",367696
92,ns/ns,foo,"loop(loop-deletion) - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - gvn",129846
93,ns/ns,foo,"mem2reg,loop-unroll<O3> - loop(loop-deletion) - mem2reg,loop-unroll<O3> - gvn - gvn",129846
94,ns/ns,foo,"gvn - mem2reg,loop-unroll<O3> - loop(loop-deletion) - mem2reg,loop-unroll<O3> - gvn - gvn",129806
95,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - loop(loop-deletion) - mem2reg,loop-unroll<O3> - gvn - gvn",129846
96,ns/ns,foo,"gvn - gvn - mem2reg,loop-unroll<O3> - gvn - loop(loop-deletion) - mem2reg,loop-unroll<O3> - gvn - gvn",129806
97,ns/ns,foo,"pgo-memop-opt - gvn - libcalls-shrinkwrap - gvn - mem2reg,loop-unroll<O3>",230866
98,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - pgo-memop-opt - gvn - libcalls-shrinkwrap - mem2reg,loop-unroll<O3>",216026
99,ns/ns,foo,"gvn - loop-distribute - mem2reg,loop-unroll<O3>",230866
100,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - pgo-memop-opt - gvn - libcalls-shrinkwrap - mem2reg,loop-unroll<O3>",216026
101,ns/ns,foo,"lcssa - loop-vectorize - gvn",367636
102,ns/ns,foo,"mem2reg,loop-unroll<O3> - jump-threading - gvn - gvn - gvn",129806
103,ns/ns,foo,"gvn - gvn - mem2reg,loop-unroll<O3> - gvn",129806
104,ns/ns,foo,"no-op-function - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm) - mem2reg,loop-unroll<O3>",215696
105,ns/ns,foo,"mem2reg,loop-unroll<O3> - no-op-function - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm) - mem2reg,loop-unroll<O3>",215696
106,ns/ns,foo,"mem2reg,loop-unroll<O3> - reassociate - correlated-propagation - gvn - lower-expect",129846
107,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - correlated-propagation - mem2reg,loop-unroll<O3> - reassociate - correlated-propagation - gvn - lower-expect",129846
108,ns/ns,foo,"loop(indvars) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - correlated-propagation - mem2reg,loop-unroll<O3> - reassociate - correlated-propagation - gvn - lower-expect",129846
109,ns/ns,foo,"gvn - mem2reg,loop-unroll<O3> - instcombine - mem2reg,loop-unroll<O3>",230866
110,ns/ns,foo,"instsimplify - mem2reg,loop-unroll<O3> - adce - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - instcombine",188146
111,ns/ns,foo,"gvn - gvn - mem2reg,loop-unroll<O3> - instcombine - mem2reg,loop-unroll<O3>",230866
112,ns/ns,foo,"gvn - gvn - gvn - mem2reg,loop-unroll<O3> - instcombine - mem2reg,loop-unroll<O3>",230866
113,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - alignment-from-assumptions",230926
114,ns/ns,foo,"libcalls-shrinkwrap - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - alignment-from-assumptions",230866
115,ns/ns,foo,"gvn - libcalls-shrinkwrap - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - alignment-from-assumptions",230866
116,ns/ns,foo,"gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - pgo-memop-opt - mem2reg,loop-unroll<O3>",230866
117,ns/ns,foo,"loop-distribute - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - pgo-memop-opt - mem2reg,loop-unroll<O3>",230866
118,ns/ns,foo,"tailcallelim - aggressive-instcombine - loop-distribute - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - pgo-memop-opt - mem2reg,loop-unroll<O3>",230866
119,ns/ns,foo,"mem2reg,loop-unroll<O3> - tailcallelim - aggressive-instcombine - loop-distribute - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - pgo-memop-opt - mem2reg,loop-unroll<O3>",216026
120,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - tailcallelim - aggressive-instcombine - loop-distribute - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - pgo-memop-opt - mem2reg,loop-unroll<O3>",216026
121,ns/ns,foo,"lower-constant-intrinsics - mem2reg,loop-unroll<O3> - gvn",129846
122,ns/ns,foo,"gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop-mssa(licm) - gvn",166036
123,ns/ns,foo,"instcombine - loop-mssa(licm) - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - loop-mssa(licm) - gvn",199866
124,ns/ns,foo,"gvn - dse - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm)",190236
125,ns/ns,foo,"loop-vectorize - gvn - dse - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm)",190236
126,ns/ns,foo,"gvn - loop-vectorize - gvn - dse - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm)",190236
127,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - gvn - gvn - gvn",129846
128,ns/ns,foo,"libcalls-shrinkwrap - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn",129846
129,ns/ns,foo,"jump-threading - gvn - gvn - gvn",367636
130,ns/ns,foo,"gvn - libcalls-shrinkwrap - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn",129806
131,ns/ns,foo,"mem2reg - mem2reg,loop-unroll<O3> - gvn - libcalls-shrinkwrap - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn",129846
132,ns/ns,foo,"gvn - gvn - gvn - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3>",230866
133,ns/ns,foo,"callsite-splitting - mem2reg - callsite-splitting - sroa - loop-sink",367696
134,ns/ns,foo,"gvn - gvn - loop-distribute - gvn - mem2reg,loop-unroll<O3>",230866
135,ns/ns,foo,"loop-vectorize - gvn - gvn - loop-distribute - mem2reg,loop-unroll<O3>",230866
136,ns/ns,foo,"loop-vectorize - mem2reg,loop-unroll<O3> - gvn - gvn - loop-distribute - mem2reg,loop-unroll<O3>",216026
137,ns/ns,foo,"gvn - loop-vectorize - mem2reg,loop-unroll<O3> - gvn - gvn - loop-distribute - mem2reg,loop-unroll<O3>",190566
138,ns/ns,foo,"div-rem-pairs - gvn",367636
