id,benchmark,function,passes,wcet
90,ns/ns,foo,"pgo-memop-opt - sroa - no-op-function - sroa - reassociate - loop-sink - pgo-memop-opt - instcombine - aggressive-instcombine - lcssa",422376
91,ns/ns,foo,"alignment-from-assumptions - instcombine - lcssa - gvn - libcalls-shrinkwrap - mem2reg",367636
92,ns/ns,foo,"no-op-function - mem2reg,loop-unroll<O3> - loop-distribute - instcombine - jump-threading - loop(indvars) - div-rem-pairs - float2int - aggressive-instcombine - loop(loop-deletion)",230926
93,ns/ns,foo,"sroa - loop(indvars) - loop(indvars) - lower-constant-intrinsics",422376
94,ns/ns,foo,"sroa - mem2reg - loop-mssa(licm) - float2int - memcpyopt - slp-vectorizer - loop(indvars) - callsite-splitting - loop(loop-idiom)",370686
95,ns/ns,foo,"float2int - instcombine - loop-load-elim - pgo-memop-opt - memcpyopt - loop-mssa(licm) - mem2reg - slp-vectorizer - tailcallelim",422376
96,ns/ns,foo,"loop-simplify - jump-threading - correlated-propagation - lower-constant-intrinsics",367696
97,ns/ns,foo,"lower-constant-intrinsics - lower-constant-intrinsics",367696
98,ns/ns,foo,"jump-threading - sroa - lower-expect - instsimplify",367696
99,ns/ns,foo,"alignment-from-assumptions - slp-vectorizer - reassociate - loop-distribute",367696
100,ns/ns,foo,"loop(indvars) - loop(loop-deletion) - aggressive-instcombine - mem2reg - instsimplify - slp-vectorizer - speculative-execution - loop-distribute",367696
101,ns/ns,foo,"lower-expect - loop-simplify - loop(indvars) - loop-simplify - speculative-execution - sccp - lcssa - pgo-memop-opt",422376
102,ns/ns,foo,"bdce - loop(loop-idiom) - loop-mssa(licm) - lower-expect - aggressive-instcombine - mldst-motion - mem2reg,loop-unroll<O3> - loop-simplify - instsimplify - loop-distribute",128916
103,ns/ns,foo,"loop-distribute - lower-expect - adce - libcalls-shrinkwrap - mem2reg,loop-unroll<O3> - aggressive-instcombine",230926
104,ns/ns,foo,"aggressive-instcombine - dse - no-op-function - loop(indvars) - slp-vectorizer - memcpyopt - loop-sink - div-rem-pairs - tailcallelim",422376
105,ns/ns,foo,"lower-constant-intrinsics - mldst-motion - lcssa - gvn - loop-simplify - mem2reg",367636
106,ns/ns,foo,"speculative-execution - no-op-function - adce - callsite-splitting - jump-threading - loop-mssa(licm) - loop-load-elim - float2int - loop-mssa(licm)",370686
107,ns/ns,foo,"instcombine - loop-mssa(licm) - alignment-from-assumptions - callsite-splitting - loop-load-elim - lower-expect - mldst-motion - callsite-splitting",422376
108,ns/ns,foo,"libcalls-shrinkwrap - instcombine - jump-threading - mldst-motion - libcalls-shrinkwrap - loop-simplify - mem2reg - loop-distribute",367696
109,ns/ns,foo,"correlated-propagation - loop(indvars) - loop(loop-idiom) - div-rem-pairs - dse - lcssa - alignment-from-assumptions - tailcallelim - callsite-splitting",422376
110,ns/ns,foo,"loop-load-elim - loop(indvars) - tailcallelim - alignment-from-assumptions - loop-load-elim - lower-expect - div-rem-pairs - mem2reg",422376
111,ns/ns,foo,"sroa - correlated-propagation - callsite-splitting - pgo-memop-opt - adce - loop-vectorize - callsite-splitting",383316
112,ns/ns,foo,"pgo-memop-opt - lower-expect - loop(loop-idiom) - lower-expect - aggressive-instcombine",422376
113,ns/ns,foo,"libcalls-shrinkwrap - tailcallelim - instcombine - loop-vectorize - sroa - loop-distribute - instcombine - instcombine",367696
114,ns/ns,foo,"adce - aggressive-instcombine - callsite-splitting - loop-load-elim",367696
115,ns/ns,foo,"instcombine - lcssa",422376
116,ns/ns,foo,"loop(indvars) - loop-vectorize - loop-load-elim - lower-constant-intrinsics - loop(loop-idiom)",422376
117,ns/ns,foo,"lcssa - bdce - instcombine - loop-simplify - loop-distribute",367696
118,ns/ns,foo,"div-rem-pairs - mldst-motion - adce - gvn - lower-constant-intrinsics - bdce - instsimplify - loop-sink - loop-distribute",367636
119,ns/ns,foo,"gvn - float2int",367636
120,ns/ns,foo,"speculative-execution - adce - instcombine",367696
121,ns/ns,foo,"mem2reg - loop-simplify - libcalls-shrinkwrap - loop-simplify",367696
122,ns/ns,foo,"jump-threading - tailcallelim - instcombine - bdce - mem2reg",367696
123,ns/ns,foo,"lower-expect - slp-vectorizer - lower-expect - instsimplify - tailcallelim - loop(loop-idiom) - libcalls-shrinkwrap",422376
124,ns/ns,foo,"aggressive-instcombine - alignment-from-assumptions",367696
125,ns/ns,foo,"loop-mssa(licm) - callsite-splitting - loop(indvars)",370686
126,ns/ns,foo,"float2int - pgo-memop-opt - loop(loop-deletion) - pgo-memop-opt - float2int - div-rem-pairs",422376
127,ns/ns,foo,"sroa - reassociate - sccp - instcombine - lower-expect - lcssa - lcssa - pgo-memop-opt - instsimplify",367696
128,ns/ns,foo,"bdce - memcpyopt - loop-simplify - adce - gvn - memcpyopt - gvn - alignment-from-assumptions - loop-sink - tailcallelim",367636
129,ns/ns,foo,"reassociate - loop-load-elim - memcpyopt - lower-constant-intrinsics - slp-vectorizer",367696
130,ns/ns,foo,"mem2reg - loop(loop-idiom) - jump-threading - loop(loop-idiom)",422376
131,ns/ns,foo,"sccp - memcpyopt",367696
132,ns/ns,foo,"dse - alignment-from-assumptions - dse - loop-distribute - bdce - loop(indvars)",422376
133,ns/ns,foo,"loop-vectorize - instcombine - correlated-propagation - loop(loop-deletion) - dse - aggressive-instcombine - adce - pgo-memop-opt - tailcallelim",422376
134,ns/ns,foo,"libcalls-shrinkwrap - jump-threading - pgo-memop-opt - lower-constant-intrinsics - float2int",367696
135,ns/ns,foo,"dse - loop-simplify - aggressive-instcombine - aggressive-instcombine - slp-vectorizer - sroa - loop-simplify - callsite-splitting",367696
136,ns/ns,foo,"loop-sink - reassociate - bdce - mldst-motion - lcssa - loop-sink - sccp - reassociate - sccp",422376
137,ns/ns,foo,"sccp - loop(loop-deletion) - div-rem-pairs - no-op-function - slp-vectorizer - speculative-execution - aggressive-instcombine - loop-sink",422376
138,ns/ns,foo,"pgo-memop-opt - correlated-propagation - dse - float2int - correlated-propagation - no-op-function - libcalls-shrinkwrap - instsimplify",367696
139,ns/ns,foo,"adce",367696
140,ns/ns,foo,"mldst-motion - loop-mssa(licm) - instcombine - loop-simplify - mem2reg,loop-unroll<O3> - lcssa - aggressive-instcombine",230926
141,ns/ns,foo,"speculative-execution - loop-distribute - bdce - gvn - loop(loop-deletion) - div-rem-pairs - jump-threading - aggressive-instcombine - loop(loop-idiom) - loop(indvars)",422316
142,ns/ns,foo,"loop-load-elim - adce - tailcallelim - sccp - jump-threading",367696
143,ns/ns,foo,"libcalls-shrinkwrap - instsimplify",367696
144,ns/ns,foo,"mem2reg - jump-threading - loop(loop-deletion) - lower-expect",422376
145,ns/ns,foo,"instcombine - libcalls-shrinkwrap - aggressive-instcombine",367696
146,ns/ns,foo,"no-op-function - instcombine - sroa - dse - memcpyopt - lower-expect",367696
147,ns/ns,foo,"memcpyopt - aggressive-instcombine - instcombine - adce - loop(indvars) - memcpyopt - slp-vectorizer - lcssa - correlated-propagation - reassociate",367696
148,ns/ns,foo,"instsimplify - aggressive-instcombine - libcalls-shrinkwrap",367696
149,ns/ns,foo,"callsite-splitting - float2int - lcssa - loop-load-elim - loop-sink - dse - lcssa - loop-vectorize",422376
150,ns/ns,foo,"tailcallelim - loop-mssa(licm) - aggressive-instcombine - slp-vectorizer - callsite-splitting",370686
151,ns/ns,foo,"sccp - lower-constant-intrinsics - jump-threading - instcombine - loop-simplify - jump-threading - callsite-splitting - sccp - sroa",367696
152,ns/ns,foo,"callsite-splitting - speculative-execution - bdce - mldst-motion - lower-expect - loop-load-elim - jump-threading",367696
153,ns/ns,foo,"lower-expect - correlated-propagation - jump-threading - loop-load-elim - lower-expect - reassociate - float2int - tailcallelim",367696
154,ns/ns,foo,"loop-mssa(licm) - loop-simplify - loop-sink - aggressive-instcombine",370686
155,ns/ns,foo,"callsite-splitting - adce",367696
156,ns/ns,foo,"instsimplify - loop-load-elim - speculative-execution - callsite-splitting",367696
157,ns/ns,foo,"gvn - loop-simplify - instsimplify - no-op-function - loop(indvars) - instcombine - mem2reg - speculative-execution",367636
158,ns/ns,foo,"gvn - float2int - callsite-splitting - speculative-execution - correlated-propagation - memcpyopt",367636
159,ns/ns,foo,"instsimplify - bdce",367696
160,ns/ns,foo,"memcpyopt - sccp - sccp - lcssa - div-rem-pairs - slp-vectorizer - mldst-motion",422376
161,ns/ns,foo,"lcssa - mldst-motion - loop-sink - dse - loop-load-elim - loop(indvars) - correlated-propagation - lcssa - gvn",367636
162,ns/ns,foo,"loop-distribute - lcssa - instcombine",367696
163,ns/ns,foo,"jump-threading - pgo-memop-opt - div-rem-pairs - adce - float2int - lower-expect - jump-threading - correlated-propagation",367696
164,ns/ns,foo,"loop-mssa(licm) - gvn - slp-vectorizer",269086
165,ns/ns,foo,"loop(loop-idiom) - tailcallelim - mem2reg",422376
166,ns/ns,foo,"lower-constant-intrinsics - jump-threading - lcssa - loop(indvars) - gvn - instsimplify - sroa - loop-sink - div-rem-pairs - pgo-memop-opt",367636
167,ns/ns,foo,"float2int - loop(indvars) - loop(indvars) - jump-threading - callsite-splitting - loop-distribute - libcalls-shrinkwrap - libcalls-shrinkwrap",422376
168,ns/ns,foo,"reassociate - sccp - memcpyopt - alignment-from-assumptions",367696
169,ns/ns,foo,"lcssa - mem2reg,loop-unroll<O3> - libcalls-shrinkwrap - adce - aggressive-instcombine - lower-expect - aggressive-instcombine - gvn - jump-threading - adce",129846
170,ns/ns,foo,"slp-vectorizer - pgo-memop-opt - tailcallelim - tailcallelim",367696
171,ns/ns,foo,"loop-vectorize - loop-mssa(licm) - aggressive-instcombine - gvn - tailcallelim - loop(indvars) - loop-simplify",370626
172,ns/ns,foo,"pgo-memop-opt - dse - loop(loop-idiom) - loop-vectorize - gvn - float2int - mem2reg,loop-unroll<O3> - aggressive-instcombine - loop-sink - mem2reg",230866
173,ns/ns,foo,"sccp - adce - loop-vectorize",383316
174,ns/ns,foo,"reassociate - dse",367696
175,ns/ns,foo,"loop-simplify - sccp - instsimplify - div-rem-pairs - reassociate - alignment-from-assumptions",367696
176,ns/ns,foo,"loop-vectorize - dse - lcssa - bdce - instcombine - jump-threading - lower-constant-intrinsics - loop(loop-deletion) - loop-vectorize",422376
177,ns/ns,foo,"mldst-motion - loop-simplify - pgo-memop-opt - adce - instcombine - no-op-function - gvn - no-op-function - float2int - mldst-motion",367636
178,ns/ns,foo,"lower-constant-intrinsics - mem2reg - pgo-memop-opt - jump-threading - speculative-execution - speculative-execution - loop-load-elim - loop-vectorize - lower-constant-intrinsics - loop-load-elim",383316
179,ns/ns,foo,"loop-load-elim - loop(loop-deletion) - loop(loop-deletion) - gvn - aggressive-instcombine - loop(loop-idiom) - lower-expect - lcssa",422316
180,ns/ns,foo,"correlated-propagation - lower-constant-intrinsics - mem2reg - tailcallelim - memcpyopt",367696
181,ns/ns,foo,"mem2reg,loop-unroll<O3> - correlated-propagation - speculative-execution - memcpyopt - loop-vectorize",215426
182,ns/ns,foo,"loop-mssa(licm) - div-rem-pairs - lcssa",370686
183,ns/ns,foo,"bdce - memcpyopt - gvn - mem2reg,loop-unroll<O3> - speculative-execution - no-op-function - float2int - memcpyopt - sccp - correlated-propagation",199866
184,ns/ns,foo,"loop-vectorize - float2int - alignment-from-assumptions - slp-vectorizer - mem2reg,loop-unroll<O3> - loop-mssa(licm) - lower-expect",212596
185,ns/ns,foo,"loop-simplify - no-op-function - loop-mssa(licm) - instsimplify - instcombine - sroa - speculative-execution - aggressive-instcombine - memcpyopt - correlated-propagation",367696
186,ns/ns,foo,"sccp - tailcallelim",367696
187,ns/ns,foo,"sccp - reassociate - sccp - loop-sink - no-op-function - loop-load-elim - aggressive-instcombine - dse",367696
188,ns/ns,foo,"speculative-execution - loop-load-elim - bdce - loop(loop-deletion) - instsimplify - loop(indvars)",422376
189,ns/ns,foo,"sccp - loop(indvars) - pgo-memop-opt - libcalls-shrinkwrap - mem2reg - loop-sink - loop-simplify - instcombine - no-op-function",367696
190,ns/ns,foo,"div-rem-pairs - adce",367696
191,ns/ns,foo,"loop-simplify",367696
192,ns/ns,foo,"div-rem-pairs - instsimplify - dse - loop-sink - gvn - loop(loop-idiom) - lcssa - correlated-propagation - loop-load-elim",367636
193,ns/ns,foo,"jump-threading - loop-distribute",367696
194,ns/ns,foo,"div-rem-pairs - loop-load-elim - loop-mssa(licm) - aggressive-instcombine - libcalls-shrinkwrap - loop-sink - correlated-propagation",269146
195,ns/ns,foo,"dse - sroa - adce - pgo-memop-opt - correlated-propagation - div-rem-pairs - jump-threading - mldst-motion - loop-distribute",367696
196,ns/ns,foo,"reassociate - mem2reg,loop-unroll<O3> - pgo-memop-opt",230926
197,ns/ns,foo,"instcombine - loop-simplify",367696
